id,marital,sex,head,earnmost,workstatus,occ,owner,ind,size,employed,regular,union,paymethod,monthlypaid,dailypaid,hourlypaid,yearlypaid,workdaypermonth,workhourperweek,overworkperweek,paidoverworkperweek,year,age
2051,1,2,0,1,3,4,1,9,1,1,8,9,9,88888,888888,888888,88888,99,999,999,999,2014,63
2054,1,1,1,1,1,9,2,11,4,5,1,1,1,380,888888,888888,88888,20,8,0,0,2014,39
2055,1,1,1,1,1,8,1,4,1,5,4,5,3,88888,13000,888888,88888,18,30,0,0,2014,71
2056,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2014,31
2057,1,2,0,0,1,10,4,15,6,5,3,2,1,300,888888,888888,88888,99,999,999,999,2014,53
2058,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2014,67
2060,1,1,1,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2014,71
2061,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2014,37
2062,1,2,1,1,3,3,2,6,3,5,5,1,4,88888,888888,850,88888,17,18,999,999,2014,50
2063,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2014,70
2064,1,1,1,1,1,8,2,4,1,5,1,9,1,400,888888,888888,88888,25,54,0,0,2014,38
2065,1,1,1,1,1,4,1,16,1,1,8,5,1,350,888888,888888,88888,25,60,999,999,2014,64
2066,1,2,1,1,3,8,2,6,5,5,5,2,1,70,888888,888888,88888,15,28,0,0,2014,38
2069,1,2,0,0,3,4,2,7,2,6,8,1,4,88888,888888,950,88888,20,24,0,0,2014,56
2070,1,1,1,1,1,3,1,6,1,3,8,5,1,330,888888,888888,88888,25,60,999,999,2014,40
2071,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2014,35
2072,1,2,0,0,3,3,1,6,1,3,8,5,1,100,888888,888888,88888,25,36,999,999,2014,62
2073,1,1,1,1,1,3,1,6,2,5,1,1,1,310,888888,888888,88888,27,78,999,0,2014,52
2075,1,2,0,0,3,6,1,16,1,5,5,1,4,88888,888888,1100,88888,15,20,1,0,2014,47
2076,1,1,1,1,1,4,1,16,1,1,8,5,1,100,888888,888888,88888,24,60,0,0,2014,65
2078,1,2,1,1,1,3,1,6,1,1,8,1,1,200,888888,888888,88888,25,90,999,999,2014,67
2079,1,1,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2014,78
2081,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2014,42
2082,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2014,60
2083,1,2,0,0,3,4,2,8,2,5,5,1,4,88888,888888,1500,88888,15,6,999,999,2014,72
2084,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2014,33
2085,1,1,1,1,1,10,2,6,5,5,2,1,3,88888,12000,888888,88888,22,60,15,0,2014,51
2086,1,1,1,1,1,8,1,4,2,6,8,3,1,300,888888,888888,88888,18,32,0,0,2014,56
2088,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2014,83
2089,1,1,1,1,1,4,2,16,2,5,1,1,1,450,888888,888888,88888,23,85,45,10,2014,44
2090,1,1,1,1,1,3,2,6,5,5,2,3,1,650,888888,888888,88888,20,40,3,3,2014,48
2092,1,2,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2014,76
2093,1,2,0,0,1,4,2,14,2,5,5,1,1,150,888888,888888,88888,20,23,999,999,2014,48
2094,1,2,0,0,1,6,4,17,6,5,4,2,1,140,888888,888888,88888,16,28,0,999,2014,55
2095,1,2,0,0,3,10,1,6,1,5,5,1,1,50,888888,888888,88888,3,999,999,999,2014,78
2098,1,2,1,1,3,10,4,15,6,5,5,5,4,88888,888888,1500,88888,20,15,0,0,2014,54
2099,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2014,72
2100,1,1,1,1,1,11,4,17,6,5,1,3,1,250,888888,888888,88888,23,40,4,0,2014,37
2106,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2014,54
2107,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2014,60
2108,1,1,1,1,1,7,1,10,2,5,1,1,1,333,888888,888888,88888,25,54,6,0,2014,55
2110,1,1,1,1,1,3,2,16,2,5,1,1,1,300,888888,888888,88888,24,54,6,0,2014,37
2112,1,1,1,1,3,4,1,7,1,1,8,9,9,88888,888888,888888,88888,25,999,999,999,2014,88
2113,2,2,1,0,9,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2014,77
2115,1,2,0,0,3,6,2,8,5,5,5,2,4,88888,888888,970,88888,13,18,999,999,2014,52
2116,1,2,0,0,3,3,1,6,2,5,5,9,4,88888,888888,1160,88888,20,20,999,999,2014,68
2118,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2014,49
2119,1,1,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2014,67
2120,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2014,34
2122,1,2,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2014,76
2123,1,1,1,1,1,8,1,4,1,1,8,5,3,88888,17000,888888,88888,25,50,3,0,2014,37
2125,1,2,1,1,1,6,2,9,5,5,6,1,4,88888,888888,1620,88888,20,42,2,2,2014,32
2126,1,2,0,0,1,6,2,5,5,5,1,3,9,88888,888888,888888,88888,20,40,0,0,2014,41
2127,1,2,0,0,3,6,1,6,1,1,8,5,4,88888,888888,1500,88888,7,35,0,0,2014,54
2128,1,2,1,1,1,4,1,16,1,1,8,5,5,88888,888888,888888,99999,30,56,999,999,2014,69
2129,1,1,0,0,1,1,1,1,1,1,8,5,5,88888,888888,888888,1500,25,999,999,999,2014,50
